"Df","Sum of Sq","RSS","AIC","F value","Pr(>F)"
"<none>",NA,NA,3.47677242444564,-560.679634236606,NA,NA
"STREAMTYPE",1,0.00262280434340623,3.47939522878905,-562.566520036441,0.111648102157855,0.738748543236949
