"Df","Sum of Sq","RSS","AIC","F value","Pr(>F)"
"<none>",NA,NA,2.83205262185656,-587.445030591005,NA,NA
"STREAMTYPE",1,0.454557213956368,3.28660983581293,-567.116805845119,23.4336582327074,3.25605535786391e-06
"SEASNUM",1,0.61535517552716,3.44740779738372,-559.951906281732,31.7232296227848,8.8518826055084e-08
"STREAMTYPE:SEASNUM",1,0.477067981548348,3.30912060340491,-566.092922810365,24.5941494054578,1.94088518787016e-06
