"","mean","sd","0%","25%","50%","75%","100%"
"RAD_GROW_L",16.3571428571429,6.80053326932916,4,10.25,17.5,20.75,27
"RAD_GROW_D",22.1428571428571,9.62254678312382,8,15,21,29.75,37
"RAD_GROW",19.25,8.69067188298913,4,11,20,25,37
