RAD_GROW_D,RAD_GROW_L,TREAT$,RAD_GROW
15,10,DARK,15
20,11,DARK,20
11,15,DARK,11
30,20,DARK,30
33,22,DARK,33
22,21,DARK,22
37,25,DARK,37
20,27,DARK,20
29,9,DARK,29
35,20,DARK,35
8,15,DARK,8
10,10,DARK,10
15,20,DARK,15
25,4,DARK,25
,,LIGHT,10
,,LIGHT,11
,,LIGHT,15
,,LIGHT,20
,,LIGHT,22
,,LIGHT,21
,,LIGHT,25
,,LIGHT,27
,,LIGHT,9
,,LIGHT,20
,,LIGHT,15
,,LIGHT,10
,,LIGHT,20
,,LIGHT,4
